review_id,product_id,review
0,0,피지오겔 DMT 페이셜 크림 기획세트 75ml3개   72시간보습유지 민감해도안심 피부장벽지켜 저자극고보습  No.1 보습크림!  피부가 뽀얗고 너무 좋은 지인에게 화장품 뭐 쓰니? 물어봤더니 피지오겔 크림을 쓴다는 말을 듣고 DMT 크림을 처음 샀던 게 벌써 10년은 된 것 같아요!세월 빠르네요  일단 저는 홍조가 있고 굉장히 민감한 피부인데 이 크림을 쓰면서 홍조도 좋아지고 건조함을 못 느끼게 되었어요  물론 세수하고 바로 보습을 해 주지 않으면 건조하니까 바로 크림을 발라주는 것이 중요합니다!  가끔 귀찮으면 토너 건너뛰고 이것만 바르기도 해요ㅎㅎ  피부 관리 귀찮아하는 남편도 아침 저녁으로 이건 꼭 바른답니다. 비행기에 가지고 타라고 출장용으로 75ml 가 필요해서 구매했어요. 작은 사이즈가 손에 잡기도 편하고 더 좋아요  이 크림은 물이 차오르는 촉촉함은 아니지만 속보습이 되는 그런 느낌입니다. 부드러운 제형으로 금방 흡수가 되니까 정말 마음에 들어요 사진은 바르기 전과 후인데 사진으로도 건조했던 손등이 피지오겔 크림 바른 후 수분을 머금은 속촉촉함이 보이시나요? 매우만족입니다  170년 이상의 독일 피부 과학을 담은 피지오겔만의 바이오미믹 테크놀로지! 피부 지질층과 유사한 성분으로 피부 장벽을 강화해 준다고 해요  민감 피부 여드름성 피부 모두 사용 가능한 저자극 포뮬라! No PEG 계면횔성제! No 실리콘 오일!  내 피부장벽을 지켜야 한다! 겉만 번지르르 한 크림 말고 속보습을 채워야 한다! 끈적이는 건 싫은데 보습은 오래 지속되어야 한다!   크림 유목민들께 적극 추천합니다. ଘ੭ˊᵕˋ੭ 
1,0,신랑과 큰아들은 지성인데 겨울이면 건조해하고 저랑 둘째는 중건성입니다. 모두를 만족시킬 화장품이 없었는데 지난 행사때 혹시나 사봤어요 근데!!!!!!! 정말 매우 만족합니다 일단 겉돌지 않고 흡수되면서 건조했던 피부가 편해졌고요 이런 성능의 제품 가격도 맘에 들어요 왜 진작 몰랐을까 생각하며 4가족 모두 쓰기 위해 한세트 추가 주문까지 했습니다
2,0,"8년 연속 판매 1등 피지오겔 페이셜 크림  저는 건성피부예요. 가을이 오는건 좋지만 환절기라 피부도 건조하고 푸석푸석해지네요... 환절기에는 특히 보습이 더 필요해요.  피지오겔은 친구 추천으로 사용하기 시작해 5년째 꾸준히 사용중입니다. 마침 뷰티컬리 일일특가 행사하길래 3개나 겟했어요 ㅎㅎ 신랑도 같이 바를려구요  얼굴에 발랐을때 촉촉하고 부드러운 느낌이 좋았고 무엇보다 향이 없어서 더 좋았어요! 피지오겔 크림을 바르고 나서부터는 땡기는 건조함이 많이 줄었습니다.  예민하고민감성 건조한 피부에게 피부 자극을 유발할 수 있는 성분을 줄여 피부에 자극이 적다고 합니다. 온 가족이 사용해도 너무 좋은 제품이지요  무엇보다 150ml 대용량이라 한참 씁니다. 환절기때 피지오겔 크림만으로 보습 효과 누려보시길 바랄게요!  피부마다 차이가 있으니, 올리브 요런곳 가셔서 샘플 테스트 해보시고 구매하시는걸 추천드립니다."
3,0,여드름에 효과가 있기를.
4,0,아이피부가5학년인데도  찬바람부니건조해지고예민해져  아기때써오던피지오겔쿠폰할인받아  좋은가격에겟!  보습력짱!피지오겔
5,0,친구추천으로샀는데  좀 유분이 있네요 새벽에 받자마자 썻는데 좀더써봐야할듯 맞는지 안맞는지 
6,0,새일해서 샀어요   제품이야 뭐.
7,0,상상품에 매우 만족합니
8,0,처음 써보는데 엄청 촉촉하네여! 좋은 것 같아요
9,0,3개사니 5만원 넘어서 증정품도 받고 10프로 쿠폰도 쓰니까 가격좋게 잘 구매한것같고 유통기한도 27년까지 넉넉하네요
10,0,뷰티이용 처음해봤는데 믿고시킬 수 있어 좋네요
11,0,프로 B5 쓰다가 바뀌봄 사용전
12,0,15년이상 피지오겔만 써오고 있어요촉촉하고 트러블도 나지 않고 온가족 사용할수 있는게 장점인것 같아요 겨울철엔 두세번 덧바르면 건조하지 않아요 재구매의사 있고 적극추천해요
13,0,겨울에 꼭 필요한 제품이예요 컬리에서 저렴하게 구매했네요
14,0,겨울철 쓰는제품 인데 쿠폰떳길래 두개 주문했어요 나이스득템!
15,0,겨울에 바르기 좋을 거 같아요
16,0,요즘 애들 날씨추워져서 크림이 필요해서 구매했어요.근데 원래 저렇게 테잎?없나요?
17,0,마켓컬리에서는 처음 구매해 보는 피지오겔 대용량이라 좋습니다
18,0,싸게 구입해서 좋아요.
19,0,피부에 좁쌀여드름이 나서 사봤어요 속건성이라 나는것같았는데 역시 바로쏙들어가네요
20,1,언니가 쓰고 있어서 추천받아서 샀는데 결론만 말씀드리면 건성이신분들에게 완전 추천합니다! 저는 얼굴이 중건성건성이라 세수하고 나오면 늘 토너하기 전에 얼굴이 찢어질 듯이 건조한 느낌이 많이 들었었는데 이 오일 스프레이세럼 사용하고는 그런 당기는 느낌이 많이 없어졌습니다. 저처럼 속건조가 심한 분들은 화장 전에 35회 분사해서 잘 흡수시켜주고 저녁에는 35회를 2번이상 하면 당기는 느낌을 많이 줄여줄 수 있을겁니다! 이건 화장했을때 수분 보충하는 미스트가 아니기때문에 화장하고 뿌리는건 비추입니다!  향 향은 화이트 트러플이라고 하길래 처음엔 망설였는데 오히려 트러플 향보다는 레몬향 처럼 상큼한 향이 많이 납니다!  질감 세럼인데 젤이나 크림타입이 아닌 미스트 형식이라 바르기도 편하고 발랐을때 흡수도 굉장히 빠릅니다. 그리고 세럼이 영양보습을 주는 오일층과 생기탄력을 주는 세럼층의 2개의 레이어로 있어서 바르기 전에 흔들어서 뿌려주는데 그냥 뿌렸을때보다 좀 더 리치하고 촉촉한 느낌으로 바를 수 있습니다!  전반적으로 만족도가 굉장히 높은 세럼이고 아침 저녁으로 바르면 속건조나 보습 채우는데 매우 효과적인 제품입니다!!
21,1,승무원 미스트로도 유명한 달바 미스트세럼!  이탈리아 청정지역에서 나오는 최고급 화이트 트러플을 담아 만들었다고 해서 유명한데요. 달바 미스트 중에서도 가장 많이 쓰고 있어요.  사용전에 흔들어서 오일층과 수분층이 섞이도록 한 후에 뿌려줘야 합니다. 요즘같은 건조한 날씨에 가볍게 뿌려만 줘도 바로 촉촉해져요.  메이크업 전 후에도 수시로 뿌려주고 있는데  자극없이 깊은 보습감으로 빠르게 건조함이 사라져서 너무 좋더라구요   촉촉하지만 끈적임이나 번들거림은 전혀 느껴지지 않아 몇 년째 사용중이에요. 지성이신 분들에게는 스킨 대신 미스트세럼만 뿌려줘도 충분할 것 같아요. 자기전에 귀찮을 때 달바 스프레이세럼만 뿌려주기도 해요.  쓰면 쓸수록 피부결이 부드러워지면서 좋아지는게 느껴져서 건성 피부인 저에게 아주 찰떡인 제품이에요  
22,1,리뷰보고 구매했는데 괜찮네요. 저는 화장 마무리에 뿌리는데 얼굴에 물광이 도는게 아주 맘에 드네요. 다쓰면 또 구매의향 있어요.
23,1,달바 자주쓰는데 너무 좋어요
24,1,건조해져서 샀어요 
25,1,증정이 안왔어요ᆢ 따로 보내주시는건가요???
26,1,계속 사용중인 아이템
27,1,화장후 뿌리면 더 건조해지는거 같아요
28,1,사무실이 많이 건조해서 메이크업 한 상태에서도 수시로 뿌리니 얼굴에 윤도 나고 좋네요. 
29,1,좋은 가격에 구매 해서 사용하고 있는데요 향은 제 취향은 아니더라구요.. 그래도 요런 타입 좋아해서 끝까지 잘 써보겠습니다
30,1,겨울에 히터틀어서 사무실 건조할때 수시로 뿌랴줍니다
31,1,세일하는건지 가격 괜찮길래 쟁여둡니다 달바는 늘 쟁여템
32,1,지인에게 생일선물로 받아서 첨 사용해본 스프레이 세럼 사용후기 너무너무 만족스러워서 친한언니 생일 선물로 구매 했어요..언니도 저 만큼이나 만족하지 싶어요ㅎㅎ
33,1,피부속당김에 이만한게 없네요. 
34,1,추천템이라 구입했어요
35,1,요즘 피부가 건조한 시기에 저렴하게 구매 했어요
36,1,저는 향은 강하고 수분감은 잘 모르겠어요  평이 좋아서 샀는데 기대이하네요
37,1,겨울에 쓰면 피부가 안당겨서 좋아요.
38,1,좋아요. 마음에 들어요 
39,1,세럼이 너무 산듯하고 좋아용
40,2,좁쌀여드름으로 피부 뒤집어져서 고생하는 1인인데요..라로슈포제는 워낙 유명하기도하고 피부때문에 고민이 많아서 유브에 찾아보니까 피부과의사가 재생크림으로 추천을 많이 하더라구요 그만큼 효과도 좋고 성분도 안전하다는거겠죠?? 아무리 좋은 제품이라도 본인한테는 안맞을수도 있으니까 반신반의하며 구매했는데와사용한지 일주일 좀 넘었는데요 진짜 많이 좋아졌어요 피부가 많이 진정되고 붉은기가 많이 사라졌어요판테놀성분이 여드름성 피부에 좋다고 하네요 저녁에는 슬리핑팩처럼 듬뿍 바르고 자는데 아침에 은은하게 속광이 올라와요 꾸덕한 제형이라 아침에 바르면 화장 밀리지 않을까 싶었는데 얇게 펴바르고 10분정도 머리 말리거나 딴거 하다보면 흡수가 쫙돼서 화장 밀림도 없어요 꾸덕한 제형이지만 끈적임이 없어요 100ml 대용량이라 겨울내내 잘쓸것 같습니다 저처럼 좁쌀여드름 심하거나 예민하고 속건조 있는분들 한번 써보세요 강추!!
